loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 510, 100, 0.0005527432793783277Jy/beam, 0.0005527432793783277Jy/beam, 68.1744961434977Jy*chan, inf
1, hogbom, 1020, 200, 0.0005509960794003811Jy/beam, 0.0005509960794003811Jy/beam, 69.43369690566134Jy*chan, 0.018470261364501906
2, hogbom, 2040, 300, 0.000548341392116489Jy/beam, 0.000548341392116489Jy/beam, 71.0104710845129Jy*chan, 0.022709062733529913
3, hogbom, 4080, 400, 0.0005451541813630616Jy/beam, 0.0005451541813630616Jy/beam, 72.8584784380238Jy*chan, 0.026024434499406345
4, hogbom, 8160, 500, 0.0005416754828033783Jy/beam, 0.0005416754828033783Jy/beam, 74.87787603483311Jy*chan, 0.02771671382798763
5, hogbom, 16320, 600, 0.0005381205635001824Jy/beam, 0.0005381205635001824Jy/beam, 77.01726954342996Jy*chan, 0.028571770753775254
6, hogbom, 32640, 700, 0.0005346075200930557Jy/beam, 0.0005346075200930557Jy/beam, 81.18225395690673Jy*chan, 0.05407857793670733
7, hogbom, 51000, 800, 0.0005284044688418569Jy/beam, 0.0005284044688418569Jy/beam, 86.53794051976256Jy*chan, 0.06597114888801603
8, hogbom, 51000, 900, 0.0005214239166804601Jy/beam, 0.0005214239166804601Jy/beam, 89.56807097826025Jy*chan, 0.035015051667490374
9, hogbom, 51000, 1000, 0.0005179017924157155Jy/beam, 0.0005179017924157155Jy/beam, 92.22325703706137Jy*chan, 0.02964433675752134
10, hogbom, 51000, 1000, 0.0005150336565872018Jy/beam, 0.0005150336565872018Jy/beam, 95.06325775951287Jy*chan, 0.030794843011347918
11, hogbom, 51000, 1000, 0.0005121621501851656Jy/beam, 0.0005121621501851656Jy/beam, 97.0903272764634Jy*chan, 0.021323375242183792
12, hogbom, 51000, 1000, 0.0005102496044915297Jy/beam, 0.0005102496044915297Jy/beam, 98.56183290497503Jy*chan, 0.015156047670140648
13, hogbom, 51000, 1000, 0.0005089309984612388Jy/beam, 0.0005089309984612388Jy/beam, 99.92131948370604Jy*chan, 0.013793235562509375
14, hogbom, 51000, 1000, 0.0005077531124588504Jy/beam, 0.0005077531124588504Jy/beam, 100.93864209043048Jy*chan, 0.010181236716858277
15, hogbom, 51000, 1000, 0.0005069118929107235Jy/beam, 0.0005069118929107235Jy/beam, 101.2268071860498Jy*chan, 0.002854854094046104
