loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 2550, 100, 0.0009111278369470887Jy/beam, 0.0009111278369470887Jy/beam, 209.64191408174563Jy*chan, inf
1, hogbom, 5100, 200, 0.0009083004403506714Jy/beam, 0.0009083004403506714Jy/beam, 214.39995168802403Jy*chan, 0.0226960225349932
2, hogbom, 10200, 300, 0.0009056592811018727Jy/beam, 0.0009056592811018727Jy/beam, 220.25271451184975Jy*chan, 0.027298340217642117
3, hogbom, 20400, 400, 0.0009025977771052188Jy/beam, 0.0009025977771052188Jy/beam, 226.8631306884464Jy*chan, 0.030012870403197747
4, hogbom, 40800, 500, 0.0008993531775942952Jy/beam, 0.0008993531775942952Jy/beam, 240.7570824017552Jy*chan, 0.06124376257678258
5, hogbom, 81600, 600, 0.0008932328513750385Jy/beam, 0.0008932328513750385Jy/beam, 259.80454140285076Jy*chan, 0.07911484393763647
6, hogbom, 163200, 700, 0.00088599028673229Jy/beam, 0.00088599028673229Jy/beam, 281.2953546614213Jy*chan, 0.08271915934389716
7, hogbom, 255000, 800, 0.0008791260408404072Jy/beam, 0.0008791260408404072Jy/beam, 305.8967718539292Jy*chan, 0.08745760207138566
8, hogbom, 255000, 900, 0.000872687789261592Jy/beam, 0.000872687789261592Jy/beam, 324.34566852086516Jy*chan, 0.06031085766326961
9, hogbom, 255000, 1000, 0.0008687612737943765Jy/beam, 0.0008687612737943765Jy/beam, 331.4753675877473Jy*chan, 0.02198179213983707
10, hogbom, 255000, 1000, 0.0008675189326094693Jy/beam, 0.0008675189326094693Jy/beam, 331.4753675877473Jy*chan, 0.0
